Qty;Value;Device;Package;Parts
1;;BTDR-3H;BTDR-3H;IC3
1;;SPDT.LUGS;SPDT.LUGS;M/S
5;100k;R-US_0204/5;0204/5;R3, R10, R17, R21, R22
3;100n;C-EU050-025X075;C050-025X075;C2, C9, C10
4;100p;C-EU050-025X075;C050-025X075;C3, C4, C15, C17
2;100u;CPOL-USE2.5-6;E2,5-6;C5, C7
7;10k;R-US_0204/5;0204/5;R2, R9, R11, R12, R14, R16, R19
1;10u;CPOL-USE2.5-6;E2,5-6;C18
1;10u;CPOL-USE2.5-6;E2,5-6;C8
1;15k;R-US_0204/5;0204/5;R7
1;1M;R-US_0204/5;0204/5;R1
4;1N4148;DO35.2;DO35-2;D3, D4, D5, D6
1;1N5817;DO41.3;DO41-3;D1
1;1k;R-US_0204/7;0204/7;R15
2;1u;C-EU050-055X075;C050-055X075;C11, C16
2;220k;R-US_0204/5;0204/5;R5, R6
2;22k;R-US_0204/5;0204/5;R20, R23
1;2u2;CPOL-USE2.5-6;E2,5-6;C13
1;470R;R-US_0204/5;0204/5;R8
1;470n;C-EU050-025X075;C050-025X075;C1
2;47k;R-US_0204/5;0204/5;R18, R24
1;47u;CPOL-USE2.5-6;E2,5-6;C14
1;4n7;C-EU050-025X075;C050-025X075;C6
1;B50k;DUALGANG.2;16MM_DUALGANG;MIX
1;50k;TRIMMER;TRIM1;SC_GAIN
1;78L05Z;78L05Z;TO92;IC4
1;B100k;16MM.1;16MM_B.MOUNT;REL
1;B10k;16MM.1;16MM_B.MOUNT;TONE
1;B10k;DUALGANG.2;16MM_DUALGANG;DWELL
1;B5k;16MM.1;16MM_B.MOUNT;SENS
3;Diff_Red;LED.3;3MM_2;D7, D8, D9
2;KE10720;LDR1;LDR1;LDR1, LDR2
1;LED.3;LED.3;3MM_2;D2
1;RLED;R-US_0204/5;0204/5;R4
1;TC1044SCPA;TC1044SCPA;DIP254P762X508-8;U1
2;TL074P;TL074P;DIL14;IC1, IC2
